text,sentiment
"Sulit untuk menghubungi instruktur jika ada pertanyaan.",0
"Kursus ini memberikan pandangan yang sangat baik tentang topik tersebut.",1
"Materi kurang terstruktur. Instruktur tidak memberikan panduan yang baik.",0
"Sangat puas dengan kursus ini. Materi sangat bermanfaat dan praktis.",1
"Penyajian materi sangat membosankan. Tidak menarik perhatian.",0
"Instruktur memberikan solusi yang inovatif untuk permasalahan yang umum.",1
"Saya tidak merekomendasikan kursus ini. Tidak sesuai dengan harapan.",0
"Materi kursus memberikan dasar yang kuat untuk pemahaman lebih lanjut.",1
"Kursus ini memberikan pemahaman yang jelas dan terperinci tentang topik.",1
"Saya merasa kebingungan sepanjang kursus. Materi terlalu rumit.",0
"Instruktur sangat mendukung dan responsif terhadap pertanyaan peserta.",1
"Kursus ini memberikan pemahaman yang mendalam dalam waktu singkat.",1
"Materi kurang relevan dengan kebutuhan pekerjaan sehari-hari.",0
"Instruktur memberikan contoh kasus yang sangat berguna.",1
"Kursus ini sangat membosankan dan tidak informatif.",0
"Sangat senang bisa mengikuti kursus ini. Materi sangat aplikatif.",1
"Materi kurang mendalam. Tidak mencakup aspek yang kompleks.",0
"Instruktur memberikan ilustrasi yang mudah dimengerti.",1
"Kursus ini memberikan wawasan baru tentang bidang studi tersebut.",1
"Saya kecewa karena tidak ada sumber daya tambahan.",0
"Materi terlalu umum. Tidak memberikan pemahaman yang mendalam.",0
"Instruktur memberikan penjelasan yang singkat dan padat.",1
"Kursus ini memberikan perspektif yang unik tentang topik tersebut.",1
"Sulit untuk menemukan dukungan teknis yang dibutuhkan.",0
"Saya sangat puas dengan materi dan cara penyajian instruktur.",1
"Materi terlalu teknis. Tidak sesuai untuk pemula.",0
"Kursus ini luar biasa! Sangat merekomendasikan.",1
"Materi sangat membosankan. Tidak sesuai dengan ekspektasi saya.",0
"Instruktur hebat! Penjelasannya mudah dipahami.",1
"Saya kecewa. Materi kurang mendalam dan tidak berguna.",0
"Kursus ini memberikan wawasan baru yang mengejutkan.",1
"Sayang sekali, tidak ada nilai tambah dari kursus ini.",0
"Materi sangat praktis dan relevan. Puas!",1
"Instruktur tidak kompeten. Tidak puas dengan pelayanan.",0
"Kursus ini memberikan ilustrasi yang jelas dan padat.",1
"Tidak direkomendasikan. Materi terlalu umum.",0
"Instruktur memberikan tips luar biasa! Terima kasih.",1
"Kursus ini tidak sesuai dengan kebutuhan saya.",0
"Sangat membantu dan mudah dipahami. Bagus!",1
"Materi kurang terstruktur dengan baik. Sulit diikuti.",0
"Instruktur sangat menginspirasi. Saya puas mengikuti kursus ini.",1
"Kursus ini memberikan pemahaman yang cepat dan efektif.",1
"Materi tidak berguna. Saya merasa disia-siakan.",0
"Instruktur memberikan contoh kasus yang sangat membantu.",1
"Tidak puas. Materi kurang mendalam.",0
"Kursus ini memberikan panduan yang sangat praktis.",1
"Materi terlalu dasar. Saya harapkan lebih banyak.",0
"Instruktur sangat ramah. Kursus ini menyenangkan diikuti.",1
"Sulit memahami materi. Instruktur tidak responsif.",0
"Kursus ini memberikan perspektif baru yang menarik.",1
"Saya merasa terinspirasi setelah menyelesaikan kursus ini.",1
"Sulit memahami materi. Materi kurang terstruktur.",0
"Konten kursus tidak relevan dengan kebutuhan saya.",0
"Materi-materi yang disampaikan sangat membantu!",1
"Saya kecewa dengan kualitas materi yang disediakan.",0
"Kursus ini memberikan wawasan yang luar biasa.",1
"Ulasan materi sangat padat dan jelas dipresentasikan.",1
"Tidak ada interaksi yang berarti dalam materi pembelajaran.",0
"Sangat merekomendasikan kursus ini kepada siapapun!",1
"Materi terlalu rumit untuk pemahaman awal.",0
"Konten kurang diperbarui dan tidak informatif.",0
"Proses pembelajaran terstruktur dengan sangat baik.",1
"Materi kurang mendalam dan tidak memuaskan.",0
"Setelah mengikuti kursus ini, saya mendapat pemahaman yang lebih baik.",1
"Saya sangat menikmati setiap bab dari kursus ini.",1
"Materi kurang menarik dan tidak memotivasi.",0
"Kursus ini memberikan perspektif baru yang menarik.",1
"Konten kurang relevan dengan perkembangan terkini.",0
"Proses pembelajaran tidak terorganisir dengan baik.",0
"Materi-materi yang disajikan sangat memuaskan!",1
"Kursus ini sangat membosankan dan tidak informatif.",0
"Materi-materi yang disajikan sangat informatif!",1
"Kursus ini tidak memberikan pemahaman yang cukup tentang topik.",0
"Konten kurang mendalam dan tidak memuaskan.",0
"Sangat menarik dan memberikan sudut pandang baru.",1
"Kursus ini tidak relevan dengan kebutuhan pasar saat ini.",0
"Saya sangat terbantu dengan materi-materi yang disampaikan.",1
"Proses pembelajaran tidak terstruktur dan membingungkan.",0
"Kursus ini memperluas pandangan saya tentang topik ini.",1
"Materi kurang diperbarui dengan perkembangan terkini.",0
"Saya merasa kesulitan untuk mengikuti alur materi.",0
"Konten kurang variatif dan monoton.",0
"Materi kurang praktis dan tidak dapat diaplikasikan.",0
"Kursus ini memberikan landasan yang kuat untuk topik ini.",1
"Instruksi dalam materi sangat jelas dan mudah dipahami.",1
"Materi kurang relevan dengan kebutuhan saya saat ini.",0
"Konten kurang mendalam dan tidak menggali topik secara detail.",0
"Saya sangat puas dengan kedalaman materi yang disampaikan.",1
"Kursus ini memberikan perspektif yang menyegarkan.",1
"Penyajian materi terlalu lambat dan tidak efisien.",0
"Konten kurang aktual dan tidak sesuai dengan tren terbaru.",0
"Materi dalam kursus ini tidak sesuai dengan ekspektasi saya.",0
"Saya merasa terbantu dengan konsep-konsep yang diajarkan.",1
"Kursus ini tidak memberikan gambaran yang komprehensif tentang topik.",0
"Materi-materi yang disampaikan sangat praktis dan berguna.",1
"Konten kurang relevan dengan perkembangan industri saat ini.",0
"Kursus ini memberikan pemahaman yang lebih baik tentang topik.",1
"Materi kurang menantang dan tidak memacu pemikiran.",0
"Saya merasa kebingungan dengan urutan penjelasan materi.",0
"Konten kurang diverifikasi dan memiliki banyak kesalahan.",0
"Penjelasan materi terlalu rumit dan sulit dipahami.",0
"Saya merasa puas dengan kedalaman yang dimiliki materi ini.",1
"Kursus ini memberikan perspektif yang berbeda secara signifikan.",1
"Materi-materi yang disajikan sangat relevan dengan kebutuhan saya.",1
"Konten kurang berkualitas dan tidak terpercaya.",0
"Instruksi dalam kursus sangat mendukung pemahaman yang baik.",1
"Saya merasa terdorong untuk belajar lebih lanjut setelah kursus ini.",1
"Kursus ini tidak memenuhi standar kualitas yang diharapkan.",0
"Materi kurang terstruktur dengan baik.",0
"Konten kurang inovatif dan tidak menarik perhatian.",0
"Saya sangat merekomendasikan kursus ini kepada rekan-rekan saya!",1
"Kursusnya oke sih, tapi agak susah dimengerti materinya.",0
"Wow, kursusnya keren banget, bener-bener ngasih perspektif baru!",1
"Abis selesai kursus ini, jadi lebih paham sih. Lumayan lah.",1
"Kontennya kurang greget sih menurutku, kurang update gitu.",0
"Materinya susah dicerna, jadi bingung ngikutinnya.",0
"Suka banget sama materinya, bener-bener membantu!",1
"Kursusnya bikin ngantuk, kurang greget.",0
"Konten kurang relevan sih menurutku, agak meh.",0
"Bingung sih ngikutin penjelasannya, jadi kurang paham.",0
"Materinya lumayan sih, tapi kayak kurang aja gitu.",0
"Kursusnya lumayan sih, tapi agak ngebosenin ya materinya.",0
"Seru banget kursusnya, bener-bener nyantein pikiran!",1
"Abis kursus ini, jadi ada insight baru gitu. Lumayan lah.",1
"Kontennya kurang greget menurutku, kurang up-to-date.",0
"Materinya agak susah dimengerti, bikin bingung.",0
"Sukses banget ngebantu lah materinya, recommended!",1
"Kursusnya bikin ngantuk, kurang greget.",0
"Kontennya kurang keren menurutku, agak meh.",0
"Bingung sih sama penjelasannya, kurang paham.",0
"Materinya ok lah, tapi kurang nendang gitu.",0
"Materinya cukup oke sih, tapi ada yang kurang.",0
"Kursusnya rada flat, but it's okay lah.",0
"Konten kurang oke menurutku, kurang nyantol.",0
"Suka banget sama gaya pengajarannya, bener-bener asyik!",1
"Kursusnya kurang memukau sih menurutku, agak biasa aja.",0
"Konten kurang update sih menurutku, kurang ngikutin trend.",0
"Bingung sih ngikutin materinya, jadi agak kurang nangkep.",0
"Materinya cukup oke lah, tapi kurang greget.",0
"Seru banget materinya, bener-bener ngasih insight baru!",1
"Kursusnya menarik, tapi agak susah dimengerti ya.",0
"Kursusnya lumayan sih, tapi materinya agak membingungkan.",0
"Keren banget kursusnya, bener-bener bikin paham!",1
"Setelah kursus ini, jadi lebih ngerti deh. Lumayan lah.",1
"Kontennya kurang greget menurutku, kayak kurang kekinian.",0
"Bingung sih ngikutin penjelasannya, agak pusing.",0
"Materinya oke banget, bener-bener membantu!",1
"Kursusnya bikin ngantuk, agak flat.",0
"Kontennya kurang oke menurutku, agak biasa aja.",0
"Agak bingung sih ngikutin penjelasannya, jadi kurang paham.",0
"Materinya oke lah, tapi kurang nyantol gitu.",0
"Materinya lumayan sih, tapi kurang greget.",0
"Kursusnya so-so aja sih, kurang menarik.",0
"Konten kurang greget menurutku, kurang update.",0
"Suka banget sama cara ngajarnya, bener-bener asyik!",1
"Kursusnya kurang greget, agak biasa.",0
"Konten kurang oke menurutku, kurang nyantol.",0
"Bingung sih ngikutin materinya, agak kurang paham.",0
"Materinya oke lah, tapi kurang greget.",0
"Materinya seru banget, bener-bener ngasih perspektif baru!",1
"Kursusnya menarik, tapi agak susah dimengerti.",0
"kursus yang diberikan tidak membantu dan terlalu singkat",0
"kursus kok singkat banget, materinya juga kurang membantu",0
"kursusnya kurang membantu, materinya juga kurang lengkap",0
"singkat banget, mending pake google",0
"materinya kurang membantu, mending pake google",0
"terlalu singkat, mending pake chatgpt",0
"kok bisa bikin kursus kayak gini, tutup aja",0
"materinya kurang membantu, mending pake chatgpt",0
"singkat nya minta ampun, mending pake coursera",0
"Kurang jelas materinya.",0
"Isinya terlalu ringkas, sulit dimengerti.",0
"Materi terlalu padat, kurang terurai.",0
"Kursusnya kurang lengkap.",0
"Terlalu singkat, tidak memuaskan.",0
"Kontennya terlalu singkat untuk dipelajari.",0
"Kurang mendalam dalam menjelaskan materi.",0
"Terlalu tergesa-gesa, tidak fokus.",0
"Materinya terlalu sederhana, tidak menantang.",0
"Kurang memuaskan, terlalu singkat.",0
"Materinya terlalu singkat untuk dipahami.",0
"Kurang detail, tidak menjelaskan dengan baik.",0
"Terlalu ringkas, tidak informatif.",0
"Isinya terlalu singkat, tidak lengkap.",0
"Kursusnya terlalu padat, sulit dicerna.",0
"Kontennya kurang memadai, terlalu singkat.",0
"Terlalu singkat, tidak memberikan informasi yang cukup.",0
"Materi terlalu pendek, kurang menjelaskan dengan baik.",0
"Kurang lengkap, terlalu singkat.",0
"Terlalu terbatas, tidak mencakup semua materi.",0
"Sangat kurang jelas materinya.",0
"Isinya sangat terlalu ringkas, sulit dimengerti.",0
"Materi sangat terlalu padat, kurang terurai.",0
"Kursusnya sangat kurang lengkap.",0
"Sangat terlalu singkat, tidak memuaskan.",0
"Kontennya sangat terlalu singkat untuk dipelajari.",0
"Sangat kurang mendalam dalam menjelaskan materi.",0
"Terlalu sangat tergesa-gesa, tidak fokus.",0
"Materinya sangat terlalu sederhana, tidak menantang.",0
"Sangat kurang memuaskan, terlalu singkat.",0
"Materi sangat terlalu singkat untuk dipahami.",0
"Kurang sangat detail, tidak menjelaskan dengan baik.",0
"Sangat terlalu ringkas, tidak informatif.",0
"Isinya sangat terlalu singkat, tidak lengkap.",0
"Kursusnya sangat terlalu padat, sulit dicerna.",0
"Kontennya sangat kurang memadai, terlalu singkat.",0
"Sangat terlalu singkat, tidak memberikan informasi yang cukup.",0
"Materi sangat terlalu pendek, kurang menjelaskan dengan baik.",0
"Kurang sangat lengkap, terlalu singkat.",0
"Sangat terlalu terbatas, tidak mencakup semua materi.",0
"Penjelasannya sangat detail, sangat membantu!",1
"Kontennya sangat lengkap dan detail.",1
"Materinya sangat terperinci, membuat pemahaman lebih baik.",1
"Sangat bagus dalam memberikan detail-detail penting.",1
"Kursus ini memberikan penjelasan yang sangat detail dan lengkap.",1
"Detail materi sangat membantu dalam pemahaman topik.",1
"Sangat puas dengan penjelasan yang sangat detail.",1
"Konten kursus sangat terperinci, menjelaskan dengan baik.",1
"Sangat mendalam dalam memberikan penjelasan yang detail.",1
"Detail penjelasannya sangat berguna untuk pemahaman yang lebih baik.",1
"Sangat kaya akan detail, sangat membantu proses pembelajaran.",1
"Detail materi sangat lengkap, sangat membantu pemahaman.",1
"Kursus ini sangat detail, sangat direkomendasikan.",1
"Sangat puas dengan penjelasan yang sangat detail.",1
"Kontennya sangat terperinci, memberikan perspektif yang lebih baik.",1
"Sangat bagus dalam menjelaskan dengan detail yang jelas.",1
"Penjelasan yang sangat detail membuatnya sangat berguna.",1
"Sangat terperinci, membuat pemahaman jadi lebih baik.",1
"Kursus ini sangat lengkap dalam memberikan detail.",1
"Detail penjelasannya sangat membantu dalam memahami konsep.",1
"Materinya sangat detail, menjelaskan dengan sangat baik.",1
"Penjelasannya sangat terperinci, sangat membantu!",1
"Sangat bagus dalam memberikan penjelasan yang sangat detail.",1
"Kursus ini sangat mendalam dalam memberikan detail.",1
"Sangat puas dengan tingkat detail yang diberikan.",1
"Detail materi sangat membantu dalam memahami konsep-konsep.",1
"Sangat lengkap dalam memberikan informasi yang detail.",1
"Penjelasan yang sangat detail sangat membantu pemahaman.",1
"Kontennya sangat terperinci, membuatnya sangat baik.",1
"Materi sangat detail, sangat memperkaya wawasan.",1
"Kursusnya keren banget, sangat menarik perhatian!",1
"Isinya keren, sangat informatif.",1
"Sangat keren, sangat memotivasi untuk belajar lebih.",1
"Kursus ini benar-benar keren, sangat direkomendasikan!",1
"Materinya keren banget, sangat menginspirasi.",1
"Kontennya keren, memberikan perspektif baru yang menarik.",1
"Sangat keren, memberikan wawasan yang berbeda.",1
"Kursus ini keren banget, sangat bagus!",1
"Isinya keren banget, sangat menarik untuk diikuti.",1
"Konten kursusnya keren, sangat memikat perhatian.",1
"Kursusnya keren, sangat memperluas pengetahuan.",1
"Sangat keren, memberikan perspektif yang berbeda.",1
"Kontennya keren banget, sangat menginspirasi!",1
"Materinya keren, sangat mendalam.",1
"Sangat keren, sangat memberikan nilai tambah.",1
"Kursus ini keren banget, sangat luar biasa!",1
"Isinya keren, memberikan wawasan yang luar biasa.",1
"Sangat keren, memberikan perspektif yang menarik.",1
"Kontennya keren banget, sangat memberikan keunggulan.",1
"Materi keren, sangat memberikan ide-ide brilian.",1
"Pengembangnya luar biasa, sangat mengagumkan!",1
"Kerja keras pengembangnya luar biasa!",1
"Pengembangnya hebat, hasilnya luar biasa.",1
"Kerja bagus dari pengembang, sangat mengesankan!",1
"Pengembangnya benar-benar brilian!",1
"Sangat puas dengan karya pengembangnya.",1
"Pengembangnya sangat berbakat, hasilnya luar biasa.",1
"Kerja cemerlang dari pengembang!",1
"Sangat kagum dengan kualitas pekerjaan pengembangnya.",1
"Pengembangnya sangat profesional, hasilnya luar biasa.",1
"Kerja yang luar biasa dari pengembang!",1
"Pengembangnya sangat berdedikasi dan hasilnya fantastis.",1
"Sangat puas dengan hasil karya pengembangnya.",1
"Pengembangnya sangat ahli dalam pekerjaannya.",1
"Kerja bersih dan berkualitas dari pengembang!",1
"Pengembangnya sangat kompeten, hasilnya mengesankan.",1
"Sangat terkesan dengan kemampuan pengembangnya.",1
"Pengembangnya sangat terampil dan hasilnya bagus sekali.",1
"Kerja yang sangat baik dari pengembang!",1
"Kualitas pekerjaan pengembangnya sangat baik.",1
"Aneh banget si gajelas banget coursenya",0
"Susah banget dimengerti kursusnya",0
"Gak nyambung banget penjelasannya, aneh",0
"Gabut banget materinya, gak ada gunanya",0
"Gak jelas banget, bikin bingung",0
"Gak ngena sama sekali kontennya",0
"Bingung banget, ga ada manfaatnya kursus",0
"Asal-asalan banget penjelasannya",0
"Gak ngerti apa-apa deh, gajelas",0
"Gak berguna banget, mending skip",0
"Bingung gila, gak ada yang jelas",0
"Gak ngaruh sama sekali, gagal paham",0
"Aneh banget materinya, gak masuk akal",0
"Gak bermanfaat banget, buang-buang waktu",0
"Kacau banget, gak paham apa yang dijelasin",0
"Gak jelas sama sekali, bikin bingung",0
"Ngerasa nyangkut, gak ngerti cara kerjanya",0
"Gak mengena banget, gak bantu sama sekali",0
"Bingung deh, gak ngerti apa-apa",0
"Gak ngerti sama sekali, gajelas",0
"Gak tau deh, bingung banget sama coursenya",0
"Kacau banget, gak ada yang jelas",0
"Gak ngerti cara kerjanya, bingung",0
"Gak ngaruh sama sekali, gajelas banget",0
"Gak paham apa-apa, aneh",0
"Susah dimengerti, bikin bingung",0
"Gak masuk akal banget, gak berguna",0
"Bingung nyangkut, gak ada gunanya kursusnya",0
"Gak memberikan manfaat sama sekali",0
"Gak jelas banget, gak membantu",0
"Gak paham sama sekali, ga ada gunanya",0
"Kacau banget, gak ngerti",0
"Bingung deh, ga ada yang masuk akal",0
"Gak ngerti sama sekali, susah dimengerti",0
"Gak ngaruh, ga ada yang jelas",0
"Bingung gila, gak ngerti cara kerjanya",0
"Gak bermanfaat banget, aneh",0
"Gak memberikan penjelasan yang membantu",0
"Gak paham, ga ada yang masuk akal",0
"Gak ngaruh sama sekali, gak membantu",0
"Gak jelas banget, gak ada gunanya",0
"Bingung nyangkut, ga ngerti",0
"Gak membantu sama sekali, ga ada manfaatnya",0
"Bingung gila, ga masuk akal",0
"Susah dimengerti banget, gak berguna",0
"Gak ngerti cara kerjanya, aneh banget",0
"Gak ada manfaatnya, gak memberikan penjelasan",0
"Gak jelas, ga ada gunanya kursusnya",0
"Gak masuk akal, gak memberikan manfaat",0
"Gak berguna banget, ga ngerti",0
"Gak membantu sama sekali, ga ada manfaatnya",0
"Gak memberikan penjelasan yang berguna",0
"Bingung gila, gak ada manfaatnya",0
"Gak ngerti cara kerjanya, gak berguna",0
"Gak ada gunanya, gak ada penjelasan yang berguna",0
"Bingung banget, gak jelas",0
"Gak masuk akal, gak ngerti cara kerjanya",0
"Gak memberikan penjelasan, gak ada manfaatnya",0
"Gak ngerti cara kerjanya, ga jelas",0
"Gak ada gunanya, gak memberikan manfaat",0
"Cara menulis esai yang baik dan benar",1
"Cara menanam tanaman hias yang cantik",1
"Cara merawat kucing agar sehat dan bahagia",1
"Cara membuat video yang menarik untuk YouTube",1
"Cara memperbaiki mobil yang rusak",1
"Cara menangani stres dalam pekerjaan",1
"Cara mengatur keuangan untuk masa depan",1
"Cara menyiapkan presentasi yang mengesankan",1
"Cara belajar bahasa asing dengan cepat",1
"Cara memulai bisnis online yang sukses",1
"Belajar memasak masakan yang terlalu asin",0
"Belajar menari dengan gerakan yang salah",0
"Belajar berkebun tanpa hasil yang memuaskan",0
"Belajar memahami teori matematika yang rumit",0
"Belajar memperbaiki perabotan yang semakin rusak",0
"Belajar mendesain ruangan yang kurang menarik",0
"Belajar menyanyi dengan nada yang tidak pas",0
"Belajar menulis cerita dengan plot yang amburadul",0
"Belajar memahami konsep fisika yang membingungkan",0
"Belajar memainkan alat musik yang sulit diatur",0
"Cara membuat makanan sehat dan lezat",1
"Cara mengatasi kecemasan dalam presentasi",1
"Cara mengelola waktu dengan efisien",1
"Cara mengetahui jenis tanaman yang cocok di dalam ruangan",1
"Cara memperbaiki kerusakan pada perangkat elektronik",1
"Cara menyelesaikan teka-teki matematika yang rumit",1
"Cara meningkatkan fokus saat belajar",1
"Cara membuat kreasi seni dari barang bekas",1
"Cara mengembangkan kebiasaan membaca",1
"Cara mengatur pola tidur yang baik",1
"Cara mengatasi rasa malas saat belajar",1
"Cara menulis novel yang menarik",1
"Cara mengelola keuangan di usia muda",1
"Cara memperbaiki kendaraan sepeda motor",1
"Cara menghias kue ulang tahun yang menarik",1
"Cara merawat tanaman kaktus yang sehat",1
"Cara memilih bahan baku yang berkualitas",1
"Cara menyiapkan rencana liburan yang menyenangkan",1
"Cara membuat mainan edukatif untuk anak-anak",1
"Cara mengatasi kebiasaan buruk dengan mudah",1
"Cara merancang taman yang indah di halaman",1
"Cara mengajar anak membaca dengan efektif",1
"Cara memotret pemandangan yang menakjubkan",1
"Cara belajar berbicara di depan umum dengan percaya diri",1
"Belajar memasak dengan teknik yang kurang tepat",0
"Belajar menulis cerpen yang kurang menarik",0
"Belajar bermain musik dengan alur yang salah",0
"Belajar memahami teori ekonomi yang membingungkan",0
"Belajar memasak hidangan yang tidak enak",0
"Belajar bermain olahraga dengan gerakan yang salah",0
"Belajar merakit perangkat elektronik yang tidak berhasil",0
"Belajar memahami konsep matematika yang rumit",0
"Belajar menggambar dengan hasil yang kurang bagus",0
"Belajar memainkan alat musik dengan nada yang tidak pas",0
"Cara mengatur buku-buku secara vertikal di rak",1
"Cara merapikan kabel-kabel dengan rapi",1
"Cara menyusun rencana perjalanan ke luar negeri",1
"Cara membuat pesta kejutan yang tak terlupakan",1
"Cara membangun taman bermain mini di halaman",1
"Cara menghasilkan uang dari hobi crafting",1
"Cara menata ruang kerja agar lebih produktif",1
"Cara merancang kamar mandi minimalis",1
"Cara mendekorasi kamar tidur dengan tema alam",1
"Cara mengorganisir acara amal di komunitas",1
"Belajar memasak hidangan eksperimental yang aneh",0
"Belajar menulis puisi dengan struktur yang aneh",0
"Belajar berbicara dalam bahasa dengan logat yang aneh",0
"Belajar membuat seni lukis dengan gaya yang aneh",0
"Belajar memainkan musik dengan notasi yang aneh",0
"Belajar memahami konsep fisika yang aneh dan tak lazim",0
"Belajar menulis cerita dengan alur yang aneh",0
"Belajar memasak dengan bahan-bahan yang aneh",0
"Belajar bermain olahraga dengan aturan yang aneh",0
"Belajar merancang arsitektur dengan ide yang aneh",0
"cara membunuh orang tua",0
"cara membunuh orang tua dengan mudah",0
"cara membunuh orang tua dengan cepat",0
"cara membunuh orang tua dengan aman",0
"cara mengebom rumah sakit",0
"cara membuat bom yang aman",0
"cara membuat bom yang kuat",0
"cara membuat bom yang mudah",0
"cara membuat bom yang cepat",0
"cara menyakiti orang lain",0
"cara menyakiti orang lain dengan mudah",0
"cara menyakiti orang lain dengan cepat",0
"cara membunuh nyamuk",1
"cara membunuh nyamuk dengan mudah",1
"cara membunuh nyamuk dengan cepat",1
"cara membunuh nyamuk dengan aman",1
"cara menyembelih kambing",1
"cara menyembelih kambing dengan mudah",1
"cara menyembelih sapi",1
"cara menabrak orang lain",0
"cara menabrak orang lain dengan mudah",0
"cara lompat dari gedung",0
"cara lompat dari gedung dengan mudah",0
"cara lompat dari pesawat",0
"cara lompat dari mobil saat berjalan",0
"cara berfikir negatif",0
"cara berpikir negatif",0
"belajar hidup negatif",0
"belajar membuat bom",0
"belajar membunuh",0
"belajar menyakiti",0
"Belajar memahami konsep matematika dasar",1
"Belajar menulis esai dengan struktur yang baik",1
"Belajar berbahasa asing untuk tujuan karier",1
"Belajar menggambar dengan teknik shading",1
"Belajar memasak dengan resep yang teruji",1
"Belajar memainkan instrumen musik secara mandiri",1
"Belajar mengembangkan keterampilan pemrograman",1
"Belajar merancang taman dengan estetika yang baik",1
"Belajar menyusun rencana bisnis yang solid",1
"Belajar berbicara di depan umum dengan percaya diri",1
"Belajar membuat eksperimen kimia yang aman",0
"Belajar menulis cerpen dengan alur yang bingung",0
"Belajar menggambar dengan hasil yang buruk",0
"Belajar berbicara bahasa dengan logat yang aneh",0
"Belajar memainkan musik dengan notasi yang salah",0
"Belajar memahami konsep fisika yang membingungkan",0
"Belajar menulis cerita dengan plot yang tak jelas",0
"Belajar memasak dengan bahan-bahan yang salah",0
"Belajar merancang dengan ide yang buruk",0
"Belajar memahami konsep ilmu pengetahuan sosial",1
"Belajar menulis puisi dengan gaya yang kreatif",1
"Belajar berbahasa asing untuk traveling",1
"Belajar menggambar dengan teknik perspektif",1
"Belajar memasak dengan variasi menu yang sehat",1
"Belajar memainkan alat musik dengan ritme yang baik",1
"Belajar mengembangkan aplikasi sederhana",1
"Belajar merancang interior dengan estetika modern",1
"Belajar menyusun presentasi yang menarik",1
